,YearRemodAdd,YearBuilt,TotRmsAbvGrd,FullBath,1stFlrSF,TotalBsmtSF,GarageArea,GarageCars,GrLivArea,OverallQual,SalePrice
0,2003,2003,8,2,856,856,548,2,1710,7,208500
1,1976,1976,6,2,1262,1262,460,2,1262,6,181500
2,2002,2001,6,2,920,920,608,2,1786,7,223500
3,1970,1915,7,1,961,756,642,3,1717,7,140000
4,2000,2000,9,2,1145,1145,836,3,2198,8,250000
5,1995,1993,5,1,796,796,480,2,1362,5,143000
6,2005,2004,7,2,1694,1686,636,2,1694,8,307000
7,1973,1973,7,2,1107,1107,484,2,2090,7,200000
8,1950,1931,8,2,1022,952,468,2,1774,7,129900
9,1950,1939,5,1,1077,991,205,1,1077,5,118000
10,1965,1965,5,1,1040,1040,384,1,1040,5,129500
11,2006,2005,11,3,1182,1175,736,3,2324,9,345000
12,1962,1962,4,1,912,912,352,1,912,5,144000
13,2007,2006,7,2,1494,1494,840,3,1494,7,279500
14,1960,1960,5,1,1253,1253,352,1,1253,6,157000
15,2001,1929,5,1,854,832,576,2,854,7,132000
16,1970,1970,5,1,1004,1004,480,2,1004,6,149000
17,1967,1967,6,2,1296,0,516,2,1296,4,90000
18,2004,2004,6,1,1114,1114,576,2,1114,5,159000
19,1965,1958,6,1,1339,1029,294,1,1339,5,139000
20,2006,2005,9,3,1158,1158,853,3,2376,8,325300
21,1950,1930,6,1,1108,637,280,1,1108,7,139400
22,2002,2002,7,2,1795,1777,534,2,1795,8,230000
23,1976,1976,6,1,1060,1040,572,2,1060,5,129900
24,2001,1968,6,1,1060,1060,270,1,1060,5,154000
25,2007,2007,7,2,1600,1566,890,3,1600,8,256300
26,2000,1951,5,1,900,900,576,2,900,5,134800
27,2008,2007,7,2,1704,1704,772,3,1704,8,306000
28,1997,1957,6,1,1600,1484,319,1,1600,5,207500
29,1950,1927,4,1,520,520,240,1,520,4,68500
30,1950,1920,6,1,649,649,250,1,1317,4,40000
31,2006,1966,6,1,1228,1228,271,1,1228,5,149350
32,2007,2007,7,2,1234,1234,484,2,1234,8,179900
33,1959,1959,6,1,1700,1398,447,2,1700,5,165500
34,2005,2005,6,2,1561,1561,556,2,1561,9,277500
35,2005,2004,9,3,1132,1117,691,3,2452,8,309000
36,1995,1994,6,1,1097,1097,672,2,1097,5,145000
37,1990,1954,5,1,1297,1297,498,2,1297,5,153000
38,2007,1953,5,1,1057,1057,246,1,1057,5,109000
39,1955,1955,6,2,1152,0,0,0,1152,4,82000
40,1965,1965,6,2,1324,1088,440,2,1324,6,160000
41,1959,1959,5,1,1328,1350,308,1,1328,5,170000
42,1983,1983,5,1,884,840,504,2,884,5,144000
43,1980,1975,5,1,938,938,308,1,938,5,130250
44,1959,1959,6,1,1150,1150,300,1,1150,5,141000
45,2005,2005,6,2,1752,1752,576,2,1752,9,319900
46,2003,2003,6,1,1518,1434,670,2,2149,7,239686
47,2006,2006,7,2,1656,1656,826,3,1656,8,249700
48,2008,1920,8,2,736,736,0,0,1452,4,113000
49,1966,1966,6,1,955,955,386,1,955,5,127000
50,1997,1997,6,2,794,794,388,2,1470,6,177000
51,1950,1934,6,1,816,816,528,2,1176,6,114500
52,1963,1963,5,1,816,816,516,2,816,5,110000
53,1987,1981,5,0,1842,1842,894,3,1842,9,385000
54,1955,1955,6,1,1360,384,572,2,1360,5,130000
55,1964,1964,7,2,1425,1425,576,2,1425,6,180500
56,2000,1999,7,2,983,970,480,2,1739,8,172500
57,2004,2004,7,2,860,860,565,2,1720,7,196500
58,2006,2006,10,3,1426,1410,641,3,2945,10,438780
59,1972,1972,4,1,780,780,352,1,780,5,124900
60,2004,2004,5,1,1158,1158,576,2,1158,6,158000
61,1996,1920,6,1,581,530,288,1,1111,5,101000
62,2006,2006,6,2,1370,1370,484,2,1370,8,202500
63,1950,1921,9,2,902,576,480,2,1710,7,140000
64,1998,1997,8,2,1057,1057,645,2,2034,7,219500
65,2005,2004,9,2,1143,1143,852,3,2473,8,317000
66,1989,1970,7,2,2207,1947,576,2,2207,7,180000
67,2003,2003,7,2,1479,1453,558,2,1479,7,226000
68,1950,1945,4,1,747,747,220,1,747,4,80000
69,1953,1953,7,2,1304,1304,667,2,2287,7,225000
70,1973,1973,8,2,2223,2223,516,2,2223,7,244000
71,2006,1982,4,1,845,845,360,2,845,4,129500
72,1998,1998,7,2,885,832,427,2,1718,7,185000
73,2003,1954,6,1,1086,1086,490,2,1086,5,144900
74,1950,1915,8,2,840,840,379,1,1605,3,107400
75,1973,1973,5,1,526,462,297,1,988,4,91000
76,1956,1956,4,1,952,952,283,1,952,4,135750
77,2001,1948,6,1,1072,672,240,1,1285,5,127000
78,1968,1968,8,2,1768,1768,0,0,1768,4,136500
79,1981,1910,5,1,682,440,440,2,1230,5,110000
80,1968,1968,8,2,1182,896,509,1,2142,6,193500
81,1998,1998,5,2,1337,1237,405,2,1337,6,153500
82,2007,2007,6,2,1563,1563,758,3,1563,8,245000
83,1960,1960,6,1,1065,1065,461,2,1065,5,126500
84,1996,1995,7,2,804,384,400,2,1474,7,168500
85,1992,1991,9,2,1301,1288,462,2,2417,8,260000
86,2005,2005,6,2,684,684,400,2,1560,6,174000
87,2009,2009,4,2,612,612,528,2,1224,6,164500
88,1982,1915,6,1,1013,1013,0,0,1526,3,85000
89,1995,1994,5,1,990,990,0,0,990,4,123600
90,1950,1950,4,1,1040,0,420,2,1040,4,109900
91,1961,1961,6,1,1235,1235,480,2,1235,5,98600
92,2006,1921,5,1,964,876,432,2,964,5,163500
93,1998,1910,9,2,1260,1214,506,2,2291,6,133900
94,1997,1997,7,2,905,824,684,2,1786,6,204750
95,1993,1993,6,2,680,680,420,2,1470,6,185000
96,1999,1999,6,2,1588,1588,472,2,1588,7,214000
97,1965,1965,6,1,960,960,432,1,960,4,94750
98,1950,1920,5,1,835,458,366,1,835,5,83000
99,1959,1959,6,1,1225,950,0,0,1225,4,128950
100,2001,1977,6,2,1610,1610,480,2,1610,6,205000
101,1985,1985,7,2,977,741,476,2,1732,6,178000
102,1979,1979,8,2,1535,0,410,2,1535,5,118964
103,2009,2009,6,2,1226,1226,740,3,1226,7,198900
104,1950,1931,7,1,1226,1040,240,1,1818,7,169500
105,2004,2003,9,2,1053,1053,648,2,1992,8,250000
106,1995,1885,6,1,1047,641,273,1,1047,4,100000
107,1950,1948,5,1,789,789,250,1,789,5,115000
108,2005,1919,7,2,997,793,0,0,1517,5,115000
109,1977,1977,7,2,1844,1844,546,2,1844,6,190000
110,1972,1954,7,2,1216,994,325,1,1855,6,136900
111,2000,2000,7,2,774,384,400,2,1430,7,180000
112,2007,2007,10,2,1282,1264,792,3,2696,7,383970
113,1953,1953,7,2,2259,1809,450,2,2259,6,217000
114,2002,1945,9,2,1436,1028,180,1,2320,6,259500
115,1999,1999,5,2,729,729,440,2,1458,6,176000
116,1962,1962,6,1,1092,1092,288,1,1092,5,139000
117,2007,2006,5,1,1125,1125,430,2,1125,5,155000
118,1990,1990,11,3,1699,1673,594,3,3222,7,320000
119,2006,2005,8,2,728,728,390,2,1456,6,163990
120,1969,1969,4,1,988,938,540,2,988,6,180000
121,1950,1939,4,1,772,732,264,1,1123,4,100000
122,1958,1958,5,1,1080,1080,288,1,1080,6,136000
123,1993,1993,5,2,1199,1199,530,2,1199,6,153900
124,1998,1979,7,2,1586,1362,435,2,1586,6,181000
125,1982,1935,5,1,520,520,0,0,754,6,84500
126,1976,1976,5,2,958,1078,440,2,958,6,128000
127,1950,1930,5,1,840,672,0,0,840,5,87000
128,1966,1966,6,1,660,660,453,2,1348,6,155000
129,1991,1958,6,1,1053,1008,750,2,1053,5,150000
130,1966,1966,8,2,1216,924,487,2,2157,7,226000
131,2000,2000,7,2,1022,992,390,2,2054,6,244000
132,2002,1959,7,1,1327,1063,624,2,1327,5,150750
133,2002,2001,6,2,1296,1267,471,2,1296,8,220000
134,1993,1968,7,2,1721,1461,440,2,1721,5,180000
135,1970,1970,7,2,1682,1304,530,2,1682,7,174000
136,1967,1967,5,2,1214,1214,318,1,1214,5,143000
137,1989,1988,9,3,1959,1907,766,3,1959,7,171000
138,2000,1999,7,2,1004,1004,660,3,1852,8,230000
139,1997,1997,7,2,928,928,470,2,1764,6,231500
140,1971,1971,5,1,864,864,0,0,864,4,115000
141,2005,2005,7,2,1734,1734,660,2,1734,7,260000
142,1952,1952,6,2,910,910,720,2,1385,5,166000
143,1999,1999,6,2,1501,1490,577,2,1501,7,204000
144,1963,1963,10,2,1728,1728,504,2,1728,5,125000
145,2006,2004,7,2,970,970,380,2,1709,6,130000
146,1993,1931,5,1,875,715,180,1,875,5,105000
147,2001,2001,8,2,884,884,434,2,2035,7,222500
148,2005,2004,6,1,1080,1080,0,0,1080,7,141000
149,1950,1936,7,1,896,896,240,1,1344,5,115000
150,1975,1975,5,1,969,969,440,2,969,5,122000
151,2008,2007,6,2,1710,1710,866,3,1710,8,372402
152,1971,1971,8,2,1097,825,495,2,1993,6,190000
153,1975,1960,4,1,1252,1602,564,2,1252,6,235000
154,1950,1923,7,1,1200,1200,312,1,1200,6,125000
155,1950,1924,5,1,572,572,0,0,1096,6,79000
156,1950,1950,5,1,1040,0,625,2,1040,5,109500
157,2010,2009,8,2,774,774,680,3,1968,8,269500
158,2005,2004,8,2,991,991,678,2,1947,7,254900
159,2006,2005,9,2,1392,1392,576,2,2462,7,320000
160,1984,1984,6,2,1232,1232,516,2,1232,6,162500
161,2004,2003,10,2,1572,1572,726,3,2668,9,412500
162,2005,2005,7,2,1541,1541,532,2,1541,7,220000
163,1956,1956,4,1,882,882,0,0,882,4,103200
164,2004,1926,5,2,1149,1149,216,1,1616,6,152000
165,1999,1940,6,2,808,644,0,0,1355,5,127500
166,1993,1955,7,1,1867,1617,303,1,1867,5,190000
167,2007,2007,8,1,1610,1582,789,3,2161,8,325624
168,2004,2004,7,2,840,840,440,2,1720,7,183500
169,1981,1981,6,2,1707,1686,511,2,1707,8,228000
170,1950,1941,7,1,854,720,660,2,1382,5,128500
171,1960,1960,7,1,1656,1080,528,2,1656,6,215000
172,1987,1987,5,2,1064,1064,504,2,1767,7,239000
173,1961,1961,6,1,1362,1362,504,2,1362,6,163000
174,1986,1986,7,2,1651,1606,616,2,1651,6,184000
175,2001,1950,7,2,2158,1202,576,2,2158,6,243000
176,1989,1988,8,2,1164,1151,521,2,2060,6,211000
177,1958,1958,8,2,1252,1052,451,2,1920,5,172500
178,2009,2008,9,2,2234,2216,1166,3,2234,9,501837
179,2006,1923,5,1,968,968,480,2,968,5,100000
180,2000,2000,5,2,769,756,440,2,1525,6,177000
181,1950,1920,9,1,901,793,216,1,1802,7,200100
182,2006,1957,7,1,1340,0,252,1,1340,5,120000
183,2003,2003,6,2,1362,1362,484,2,2082,7,200000
184,1991,1908,5,1,936,504,576,2,1252,5,127000
185,1993,1892,12,2,1518,1107,840,3,3608,10,475000
186,1991,1990,6,2,1217,1188,497,2,1217,7,173000
187,1987,1916,8,2,808,660,180,1,1656,5,135000
188,1979,1979,6,0,1224,1086,528,2,1224,5,153337
189,2002,2001,5,1,1593,1593,682,2,1593,8,286000
190,1994,1932,10,2,1549,853,440,2,2727,8,315000
191,2004,1972,7,1,725,725,484,2,1479,7,184000
192,1999,1999,6,2,1431,1431,666,2,1431,7,192000
193,2004,2004,7,2,970,970,380,2,1709,7,130000
194,1972,1972,5,1,864,864,352,1,864,5,127000
195,1976,1976,7,2,855,855,440,2,1456,6,148500
196,2007,2007,8,2,1726,1726,786,3,1726,7,311872
197,1990,1918,8,2,1360,1360,795,2,3112,8,235000
